================================================================================
MARINE SOUND CATALOG — Galápagos Hydrophone Recordings
================================================================================

──────────────────────────────────────────────────────────────────────
FILE: 5783.040122170635.wav
  Unit: 5783  |  Recorded: 2004-01-22 17:06:35
  Segments: 121

          Time  Acoustic Label             PANNs Category   PANNs Top Sound              NDSI
  ────────────  ─────────────────────────  ───────────────  ─────────────────────────  ──────
   00:00-00:10  vessel noise               anthropogenic    Speech                     -0.992
   00:10-00:20  mixed soundscape           unknown          Speech                     -0.995
   00:20-00:30  near-silence               unknown          Speech                     -0.992
   00:30-00:40  mixed soundscape           unknown          Inside, small room         -0.996
   00:40-00:50  mixed soundscape           anthropogenic    Speech                     -0.999
   00:50-01:00  vessel noise               unknown          Speech                     -1.000
   01:00-01:10  moderate biological        biological       Stomach rumble             -0.990
   01:10-01:20  vessel noise               unknown          Stomach rumble             -0.994
   01:20-01:30  vessel noise               biological       Speech                     -1.000
   01:30-01:40  vessel noise               unknown          Stomach rumble             -0.999
   01:40-01:50  vessel noise               biological       Stomach rumble             -0.999
   01:50-02:00  near-silence               biological       Speech                     -0.925
   02:00-02:10  mixed soundscape           unknown          Stomach rumble             -1.000
   02:10-02:20  near-silence               ambient          Silence                    -0.252
   02:20-02:30  near-silence               ambient          Silence                    -0.313
   02:30-02:40  near-silence               ambient          Silence                    -0.311
   02:40-02:50  mixed soundscape           unknown          Speech                     -1.000
   02:50-03:00  mixed soundscape           ambient          Silence                    -0.996
   03:00-03:10  mixed soundscape           biological       Speech                     -0.999
   03:10-03:20  mixed soundscape           biological       Speech                     -0.997
   03:20-03:30  near-silence               ambient          Silence                    -0.182
   03:30-03:40  near-silence               ambient          Silence                    -0.181
   03:40-03:50  near-silence               ambient          Silence                    -0.188
   03:50-04:00  near-silence               ambient          Silence                    -0.165
   04:00-04:10  near-silence               ambient          Silence                    -0.182
   04:10-04:20  near-silence               ambient          Silence                    -0.207
   04:20-04:30  near-silence               ambient          Silence                    -0.170
   04:30-04:40  near-silence               ambient          Silence                    -0.213
   04:40-04:50  near-silence               ambient          Silence                    -0.163
   04:50-05:00  near-silence               ambient          Silence                    -0.181
   05:00-05:10  near-silence               ambient          Silence                    -0.174
   05:10-05:20  near-silence               ambient          Silence                    -0.160
   05:20-05:30  near-silence               ambient          Silence                    -0.164
   05:30-05:40  near-silence               ambient          Silence                    -0.174
   05:40-05:50  near-silence               ambient          Silence                    -0.203
   05:50-06:00  near-silence               ambient          Silence                    -0.189
   06:00-06:10  near-silence               ambient          Silence                    -0.167
   06:10-06:20  near-silence               ambient          Silence                    -0.361
   06:20-06:30  near-silence               ambient          Silence                    -0.196
   06:30-06:40  near-silence               ambient          Silence                    -0.204
   06:40-06:50  near-silence               ambient          Silence                    -0.187
   06:50-07:00  near-silence               ambient          Silence                    -0.205
   07:00-07:10  near-silence               ambient          Silence                    -0.220
   07:10-07:20  near-silence               ambient          Silence                    -0.246
   07:20-07:30  near-silence               ambient          Silence                    -0.198
